code,area,year,number_of_jobs,job_density,gcode,lat,lon
E09000026,Redbridge,2006,74000,0.44,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2006,84000,0.67,E09000027,51.4479,-0.326159
E09000028,Southwark,2006,210000,1.09,E09000028,51.4737,-0.0821115
E09000029,Sutton,2006,71000,0.59,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2006,203000,1.31,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2006,70000,0.44,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2006,128000,0.59,E09000032,51.4572,-0.194519
E09000033,Westminster,2006,605000,3.56,E09000033,51.4974,-0.136655
E09000001,City of London,2007,350000,57.98,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2007,52000,0.49,E09000002,51.5636,0.152614
E09000003,Barnet,2007,136000,0.62,E09000003,51.5878,-0.229105
E09000004,Bexley,2007,74000,0.52,E09000004,51.5524,-0.30256
E09000005,Brent,2007,111000,0.57,E09000005,51.4042,0.01998
E09000006,Bromley,2007,136000,0.71,E09000006,51.4042,0.01998
E09000007,Camden,2007,296000,1.9,E09000007,51.5275,-0.124663
E09000008,Croydon,2007,152000,0.67,E09000008,51.3726,-0.096801
E09000009,Ealing,2007,140000,0.63,E09000009,51.6537,-0.080609
E09000010,Enfield,2007,108000,0.57,E09000010,51.6537,-0.080609
E09000011,Greenwich,2007,82000,0.51,E09000011,51.4893,0.0647926
E09000012,Hackney,2007,95000,0.6,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2007,134000,1.02,E09000013,51.5064,-0.137447
E09000014,Haringey,2007,81000,0.49,E09000014,51.6002,-0.111927
E09000015,Harrow,2007,83000,0.55,E09000015,51.5846,-0.332159
E09000016,Havering,2007,82000,0.56,E09000016,51.5817,0.186821
E09000017,Hillingdon,2007,202000,1.19,E09000017,51.5289,-0.481374
E09000018,Hounslow,2007,136000,0.84,E09000018,51.4984,-0.1284
E09000019,Islington,2007,201000,1.43,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2007,128000,1.08,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2007,86000,0.8,E09000021,51.4029,-0.256523
E09000022,Lambeth,2007,138000,0.66,E09000022,51.4603,-0.11663
E09000023,Lewisham,2007,75000,0.41,E09000023,51.447,-0.0187319
E09000024,Merton,2007,78000,0.58,E09000024,51.3985,-0.1986
E09000025,Newham,2007,80000,0.44,E09000025,51.533,0.0540634
E09000026,Redbridge,2007,79000,0.46,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2007,89000,0.72,E09000027,51.4479,-0.326159
E09000028,Southwark,2007,222000,1.13,E09000028,51.4737,-0.0821115
E09000029,Sutton,2007,71000,0.59,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2007,211000,1.3,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2007,67000,0.42,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2007,130000,0.59,E09000032,51.4572,-0.194519
E09000033,Westminster,2007,623000,3.73,E09000033,51.4974,-0.136655
E09000001,City of London,2008,348000,59.67,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2008,53000,0.48,E09000002,51.5636,0.152614
E09000003,Barnet,2008,140000,0.63,E09000003,51.5878,-0.229105
E09000004,Bexley,2008,73000,0.51,E09000004,51.5524,-0.30256
E09000005,Brent,2008,109000,0.54,E09000005,51.4042,0.01998
E09000006,Bromley,2008,130000,0.67,E09000006,51.4042,0.01998
E09000007,Camden,2008,307000,2,E09000007,51.5275,-0.124663
E09000008,Croydon,2008,146000,0.63,E09000008,51.3726,-0.096801
E09000009,Ealing,2008,131000,0.58,E09000009,51.6537,-0.080609
E09000010,Enfield,2008,111000,0.57,E09000010,51.6537,-0.080609
E09000011,Greenwich,2008,81000,0.5,E09000011,51.4893,0.0647926
E09000012,Hackney,2008,96000,0.59,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2008,135000,1.02,E09000013,51.5064,-0.137447
E09000014,Haringey,2008,78000,0.45,E09000014,51.6002,-0.111927
E09000015,Harrow,2008,77000,0.5,E09000015,51.5846,-0.332159
E09000016,Havering,2008,87000,0.59,E09000016,51.5817,0.186821
E09000017,Hillingdon,2008,206000,1.19,E09000017,51.5289,-0.481374
E09000018,Hounslow,2008,137000,0.83,E09000018,51.4984,-0.1284
E09000019,Islington,2008,205000,1.44,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2008,131000,1.1,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2008,87000,0.8,E09000021,51.4029,-0.256523
E09000022,Lambeth,2008,140000,0.66,E09000022,51.4603,-0.11663
